row,sp,Dataset,TraitValue,Lat,Lon,DataContributor,TraitName;;
1,Cassiope tetragona,Atqasuk,0.062,70.46,-157.42,Robert Hollister,PlantHeight;;
2,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.076,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
3,Cassiope tetragona,Atqasuk,0.072,70.46,-157.42,Robert Hollister,PlantHeight;;
4,Cassiope tetragona,GLOPNET - Global Plant Trait Network Database,0.1,67.5,-152.5,Ian Wright,PlantHeight;;
5,Cassiope tetragona,Kluane Plateau,0.072,60.97135,-138.41777,Haydn Thomas,PlantHeight;;
6,Cassiope tetragona,Qikiqtaruk-Herschel Island,0.138,69.57536,-138.86479,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
7,Cassiope tetragona,Kilpisjarvi, Finland,0.06,69.05440329,20.81852298,Konsta Happonen; Anna-Maria Virkkala; Miska Luoto,PlantHeight
610,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
611,Salix lanata,Northwestern AK_N5,1.49,67.88658662,-158.3793281,Katie Christie,PlantHeight;;
612,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
613,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
614,Salix lanata,Northeastern AK_Gal,0.21,68.47950242,-149.4954564,Katie Christie,PlantHeight;;
615,Salix lanata,Staloluokta Sweden,2.32,67.280889,16.717278,Bruce C. Forbes,PlantHeight;;
616,Salix lanata,Herschel_2,0.17,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
617,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
618,Salix lanata,Northeastern AK_Sag6,0.72,69.01690277,-148.8231235,Katie Christie,PlantHeight;;
619,Salix lanata,Abisko_Nadia,18.04682577,68.37111,18.6586,Nadia Soudzilovskaia,SLA;;
620,Salix lanata,Northeastern AK_Sag9,0.55,69.22103338,-148.7764762,Katie Christie,PlantHeight;;
621,Salix lanata,Kluane,0.6,60.96552,-138.44399,Isla Myers-Smith,PlantHeight;;
622,Salix lanata,Herschel_4,0.19,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
623,Salix lanata,Qikiqtaruk-Herschel Island,0.43,69.56985,-138.89821,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
624,Salix lanata,Herschel_4,0.2,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
625,Salix lanata,Kluane,0.5,60.90119,-138.2582,Isla Myers-Smith,PlantHeight;;
626,Salix lanata,Northeastern AK_Sag6,0.95,69.01690277,-148.8231235,Katie Christie,PlantHeight;;
627,Salix lanata,Abisko_Nadia,19.06047078,68.37111,18.6586,Nadia Soudzilovskaia,SLA;;
628,Salix lanata,Qikiqtaruk-Herschel Island,0.428,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
629,Salix lanata,Kluane_4,0.51,60.96118,-138.41035,Sandra Angers-Blondin,PlantHeight;;
630,Salix lanata,Qikiqtaruk-Herschel Island,0.423,69.56985,-138.89821,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
631,Salix lanata,Kluane_5,0.44,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
632,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
633,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
634,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
635,Salix lanata,Kluane_5,1.02,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
636,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
637,Salix lanata,Kluane,0.2,61.2147,-138.29757,Isla Myers-Smith,PlantHeight;;
638,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
639,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
640,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
641,Salix lanata,Kluane_6,0.41,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
642,Salix lanata,Kluane,0.5,60.90119,-138.2582,Isla Myers-Smith,PlantHeight;;
643,Salix lanata,Kluane_6,0.69,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
644,Salix lanata,Staloluokta Sweden,2.39,67.280889,16.717278,Bruce C. Forbes,PlantHeight;;
645,Salix lanata,Kluane,0.37,60.96202,-138.40977,Isla Myers-Smith,PlantHeight;;
646,Salix lanata,Northwestern AK_N10,1.3,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
647,Salix lanata,Bylot,14.861,73.15,-79.95,Laurent Lamarque,SLA;;
648,Salix lanata,Kluane,0.2,61.20581,-138.27721,Isla Myers-Smith,PlantHeight;;
649,Salix lanata,Kluane,0.2,60.82741,-137.8601,Isla Myers-Smith,PlantHeight;;
650,Salix lanata,Herschel_4,0.11,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
651,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
652,Salix lanata,Kluane,0.3,61.24392,-139.08269,Isla Myers-Smith,PlantHeight;;
653,Salix lanata,Qikiqtaruk-Herschel Island,10.19388464,69.57645,-138.994435,Haydn Thomas, Isla Myers-Smith,SLA;;
654,Salix lanata,Bylot,17.104,73.15,-79.95,Laurent Lamarque,SLA;;
655,Salix lanata,Pika Camp,1.74,61.219,-138.28477,Haydn Thomas,PlantHeight;;
656,Salix lanata,Herschel_5,0.23,69.581,-138.9081,Sandra Angers-Blondin,PlantHeight;;
657,Salix lanata,Qikiqtaruk-Herschel Island,0.312,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
658,Salix lanata,Northeastern AK_Sag9,0.45,69.22103338,-148.7764762,Katie Christie,PlantHeight;;
659,Salix lanata,Herschel_2,0.31,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
660,Salix lanata,Kluane,0.2,60.82668,-137.858,Isla Myers-Smith,PlantHeight;;
661,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
662,Salix lanata,Herschel Island,0.25,69.57798,-138.93608,Isla Myers-Smith,PlantHeight;;
663,Salix lanata,Kluane_6,0.98,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
664,Salix lanata,Kluane Plateau,0.665,60.96201,-138.41271,Haydn Thomas,PlantHeight;;
665,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
666,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
667,Salix lanata,Kluane,0.2,60.95364,-138.4207,Isla Myers-Smith,PlantHeight;;
668,Salix lanata,Qikiqtaruk-Herschel Island,0.495,69.57677,-138.90984,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
669,Salix lanata,Kluane_4,0.36,60.96118,-138.41035,Sandra Angers-Blondin,PlantHeight;;
670,Salix lanata,Kluane,0.3,60.95364,-138.4207,Isla Myers-Smith,PlantHeight;;
671,Salix lanata,Bylot,17.984,73.15,-79.95,Laurent Lamarque,SLA;;
672,Salix lanata,Dempster,0.69,66.63282,-136.27624,Isla Myers-Smith,PlantHeight;;
673,Salix lanata,Kluane Plateau,0.804,60.96727,-138.42202,Haydn Thomas,PlantHeight;;
674,Salix lanata,Kluane_6,0.14,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
675,Salix lanata,Bylot,16.615,73.15,-79.95,Laurent Lamarque,SLA;;
676,Salix lanata,Kluane,0.96,60.8966,-138.24828,Isla Myers-Smith,PlantHeight;;
677,Salix lanata,The VISTA Plant Trait Database,8.19,62.7,11.08,Eric Garnier,SLA;;
678,Salix lanata,Herschel_4,0.15,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
679,Salix lanata,Herschel Island,12.68306011,69.5749,-138.8631,Isla Myers-Smith,SLA;;
680,Salix lanata,Herschel_4,0.17,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
681,Salix lanata,Kluane_5,0.25,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
682,Salix lanata,Kluane_4,0.37,60.96118,-138.41035,Sandra Angers-Blondin,PlantHeight;;
683,Salix lanata,Herschel_2,0.24,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
684,Salix lanata,Ecological Flora of the British Isles,1,NA,NA,Henry Ford,PlantHeight;;
685,Salix lanata,Kluane,15.17631579,61.10549,-138.6618,Isla Myers-Smith,SLA;;
686,Salix lanata,Herschel_4,0.1,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
687,Salix lanata,Herschel Island,0.32,69.57798,-138.93608,Isla Myers-Smith,PlantHeight;;
688,Salix lanata,Bylot,14.44,73.15,-79.95,Laurent Lamarque,SLA;;
689,Salix lanata,Northwestern AK_N5,1.38,67.88658662,-158.3793281,Katie Christie,PlantHeight;;
690,Salix lanata,Kluane,12.55897436,61.1726,-138.3824,Isla Myers-Smith,SLA;;
691,Salix lanata,Herschel Island,0.27,69.56987,-138.90081,Isla Myers-Smith,PlantHeight;;
692,Salix lanata,Kluane,0.1,61.39901,-139.45416,Isla Myers-Smith,PlantHeight;;
693,Salix lanata,Qikiqtaruk-Herschel Island,10.6117837,69.57677,-138.90984,Haydn Thomas, Isla Myers-Smith,SLA;;
694,Salix lanata,Kluane_4,0.59,60.96118,-138.41035,Sandra Angers-Blondin,PlantHeight;;
695,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
696,Salix lanata,Qikiqtaruk-Herschel Island,0.545,69.57794,-138.94218,Haydn Thomas,PlantHeight;;
697,Salix lanata,Qikiqtaruk-Herschel Island,10.40228789,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,SLA;;
698,Salix lanata,Kluane,1.3,60.96535,-138.44617,Isla Myers-Smith,PlantHeight;;
699,Salix lanata,Qikiqtaruk-Herschel Island,0.431,69.56985,-138.89821,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
700,Salix lanata,Herschel_2,0.14,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
701,Salix lanata,Herschel_2,0.26,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
702,Salix lanata,Hol,0.47,60.69790789,7.934997917,James D. M. Speed,PlantHeight;;
703,Salix lanata,Kluane_6,0.58,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
704,Salix lanata,Kluane_3,0.33,61.22157,-138.26865,Sandra Angers-Blondin,PlantHeight;;
705,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
706,Salix lanata,Kluane_6,0.13,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
707,Salix lanata,Kluane,0.61,61.1726,-138.3824,Isla Myers-Smith,PlantHeight;;
708,Salix lanata,Kluane_5,0.23,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
709,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
710,Salix lanata,Dempster,0.85,66.63317,-136.27615,Isla Myers-Smith,PlantHeight;;
711,Salix lanata,Kluane_5,0.31,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
712,Salix lanata,Bylot,17.24,73.15,-79.95,Laurent Lamarque,SLA;;
713,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
714,Salix lanata,Pika Camp,0.22,61.219,-138.28477,Haydn Thomas,PlantHeight;;
715,Salix lanata,Kluane Plateau,1.43,60.96727,-138.42202,Haydn Thomas,PlantHeight;;
716,Salix lanata,Northwestern AK_N10,1.42,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
717,Salix lanata,Kluane_5,0.36,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
718,Salix lanata,Kluane_6,0.25,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
719,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
720,Salix lanata,Bylot,18.131,73.15,-79.95,Laurent Lamarque,SLA;;
721,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
722,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
723,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
724,Salix lanata,Staloluokta Sweden,2.3,67.280889,16.717278,Bruce C. Forbes,PlantHeight;;
725,Salix lanata,Kluane,0.7,61.26305,-138.18247,Isla Myers-Smith,PlantHeight;;
726,Salix lanata,Northwestern AK_N10,0.95,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
727,Salix lanata,Kluane,17.4375,61.10549,-138.6618,Isla Myers-Smith,SLA;;
728,Salix lanata,Northwestern AK_N10,0.96,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
729,Salix lanata,Herschel Island,11.17532468,69.5749,-138.8631,Isla Myers-Smith,SLA;;
730,Salix lanata,Herschel_2,0.25,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
731,Salix lanata,Herschel_2,0.19,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
732,Salix lanata,The Xylem/Phloem Database,1.5,66,60,Fritz Schweingruber,PlantHeight;;
733,Salix lanata,Herschel_2,0.17,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
734,Salix lanata,Northwestern AK_N10,1.3,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
735,Salix lanata,Kluane,0.5,60.82826,-137.87012,Isla Myers-Smith,PlantHeight;;
736,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
737,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
738,Salix lanata,Qikiqtaruk-Herschel Island,10.16045627,69.56985,-138.89821,Haydn Thomas, Isla Myers-Smith,SLA;;
739,Salix lanata,Kluane,0.2,60.95661,-138.41556,Isla Myers-Smith,PlantHeight;;
740,Salix lanata,Qikiqtaruk-Herschel Island,0.372,69.56985,-138.89821,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
741,Salix lanata,Abisko_Nadia,19.4363937,68.37111,18.6586,Nadia Soudzilovskaia,SLA;;
742,Salix lanata,Herschel_2,0.29,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
743,Salix lanata,Kluane,0.4,60.96202,-138.40977,Isla Myers-Smith,PlantHeight;;
744,Salix lanata,Northwestern AK_N1,0.89,67.9662727,-158.0198004,Katie Christie,PlantHeight;;
745,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
746,Salix lanata,Northeastern AK_Sag9,0.5,69.22103338,-148.7764762,Katie Christie,PlantHeight;;
747,Salix lanata,Northeastern AK_Sag6,0.68,69.01690277,-148.8231235,Katie Christie,PlantHeight;;
748,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
749,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
750,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
751,Salix lanata,Kluane_6,0.49,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
752,Salix lanata,Kluane_4,0.33,60.96118,-138.41035,Sandra Angers-Blondin,PlantHeight;;
753,Salix lanata,Northwestern AK_N10,1.32,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
754,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
755,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
756,Salix lanata,Kluane,0.7,60.96202,-138.40977,Isla Myers-Smith,PlantHeight;;
757,Salix lanata,Herschel_2,0.22,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
758,Salix lanata,Kluane_5,0.43,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
759,Salix lanata,Herschel Island,9.990654206,69.5749,-138.8631,Isla Myers-Smith,SLA;;
760,Salix lanata,Herschel_4,0.16,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
761,Salix lanata,Herschel_4,0.19,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
762,Salix lanata,Kluane,20.94210526,61.10549,-138.6618,Isla Myers-Smith,SLA;;
763,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
764,Salix lanata,Herschel_5,0.27,69.581,-138.9081,Sandra Angers-Blondin,PlantHeight;;
765,Salix lanata,Northwestern AK_N10,1.42,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
766,Salix lanata,Herschel_2,0.16,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
767,Salix lanata,Kluane,17.30952381,61.10549,-138.6618,Isla Myers-Smith,SLA;;
768,Salix lanata,Northwestern AK_N10,1.32,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
769,Salix lanata,Herschel_2,0.2,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
770,Salix lanata,Kluane,1.9,61.20588,-138.27476,Isla Myers-Smith,PlantHeight;;
771,Salix lanata,Herschel_2,0.13,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
772,Salix lanata,Herschel_5,0.3,69.581,-138.9081,Sandra Angers-Blondin,PlantHeight;;
773,Salix lanata,Kluane_5,0.62,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
774,Salix lanata,Herschel Island,0.36,69.56994,-138.90233,Isla Myers-Smith,PlantHeight;;
775,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
776,Salix lanata,Herschel_3,0.34,69.5771,-138.9209,Sandra Angers-Blondin,PlantHeight;;
777,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
778,Salix lanata,SLYR Yuribei River YNAO,2.8,68.91,70.23,Bruce C. Forbes,PlantHeight;;
779,Salix lanata,Northeastern AK_Gal,0.65,68.47950242,-149.4954564,Katie Christie,PlantHeight;;
780,Salix lanata,Herschel_2,0.24,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
781,Salix lanata,Northwestern AK_N9,1.31,68.03637994,-159.0520373,Katie Christie,PlantHeight;;
782,Salix lanata,Northwestern AK_N9,1.07,68.03637994,-159.0520373,Katie Christie,PlantHeight;;
783,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
784,Salix lanata,Herschel_2,0.26,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
785,Salix lanata,Northwestern AK_N1,0.6,67.9662727,-158.0198004,Katie Christie,PlantHeight;;
786,Salix lanata,Herschel_4,0.1,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
787,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
788,Salix lanata,Herschel_2,0.25,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
789,Salix lanata,Herschel Island,0.24,69.56992,-138.90171,Isla Myers-Smith,PlantHeight;;
790,Salix lanata,Herschel_2,0.27,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
791,Salix lanata,The VISTA Plant Trait Database,0.2731,62.7,11.08,Eric Garnier,PlantHeight;;
792,Salix lanata,Kluane,0.8,60.82826,-137.87012,Isla Myers-Smith,PlantHeight;;
793,Salix lanata,The VISTA Plant Trait Database,8.19,62.7,11.08,Eric Garnier,SLA;;
794,Salix lanata,Dempster,0.78,66.63199,-136.27445,Isla Myers-Smith,PlantHeight;;
795,Salix lanata,Kluane,0.6,60.96202,-138.40977,Isla Myers-Smith,PlantHeight;;
796,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
797,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
798,Salix lanata,Bylot,19.325,73.15,-79.95,Laurent Lamarque,SLA;;
799,Salix lanata,Kluane_5,0.14,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
800,Salix lanata,Herschel_2,0.15,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
801,Salix lanata,Yuribei River Yamal Peninsula,2.11,68.962167,69.989361,Bruce C. Forbes,PlantHeight;;
802,Salix lanata,Qikiqtaruk-Herschel Island,9.566791511,69.57645,-138.994435,Haydn Thomas, Isla Myers-Smith,SLA;;
803,Salix lanata,Herschel_5,0.3,69.581,-138.9081,Sandra Angers-Blondin,PlantHeight;;
804,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
805,Salix lanata,Yuribei River Yamal Peninsula,2.56,68.962167,69.989361,Bruce C. Forbes,PlantHeight;;
806,Salix lanata,Northwestern AK_N10,0.95,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
807,Salix lanata,Kluane,0.7,60.90119,-138.2582,Isla Myers-Smith,PlantHeight;;
808,Salix lanata,Kluane,0.3,60.95661,-138.41556,Isla Myers-Smith,PlantHeight;;
809,Salix lanata,Kluane,18.56315789,61.10549,-138.6618,Isla Myers-Smith,SLA;;
810,Salix lanata,Herschel_2,0.17,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
811,Salix lanata,Northwestern AK_N10,1.43,68.04868089,-159.0881385,Katie Christie,PlantHeight;;
812,Salix lanata,Herschel Island,9.970760234,69.5749,-138.8631,Isla Myers-Smith,SLA;;
813,Salix lanata,Kluane,0.69,61.1726,-138.3824,Isla Myers-Smith,PlantHeight;;
814,Salix lanata,Herschel_2,0.23,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
815,Salix lanata,Kluane,0.72,61.1726,-138.3824,Isla Myers-Smith,PlantHeight;;
816,Salix lanata,Herschel_4,0.14,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
817,Salix lanata,Qikiqtaruk-Herschel Island,0.412,69.56985,-138.89821,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
818,Salix lanata,Qikiqtaruk-Herschel Island,0.253,69.58015,-138.92355,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
819,Salix lanata,Kluane_6,0.53,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
820,Salix lanata,Qikiqtaruk-Herschel Island,0.31,69.57677,-138.90984,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
821,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
822,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
823,Salix lanata,Herschel_2,0.29,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
824,Salix lanata,Herschel_4,0.14,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
825,Salix lanata,Kluane,0.2,60.95364,-138.4207,Isla Myers-Smith,PlantHeight;;
826,Salix lanata,Northwestern AK_N1,0.54,67.9662727,-158.0198004,Katie Christie,PlantHeight;;
827,Salix lanata,Northeastern AK_Sag9,0.52,69.22103338,-148.7764762,Katie Christie,PlantHeight;;
828,Salix lanata,Herschel_4,0.1,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
829,Salix lanata,Herschel_4,0.16,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
830,Salix lanata,SLVR Varandei NAO,2.5,68.67,58.5,Bruce C. Forbes,PlantHeight;;
831,Salix lanata,Qikiqtaruk-Herschel Island,0.383,69.58015,-138.92355,Haydn Thomas,PlantHeight;;
832,Salix lanata,Kluane_2,0.28,61.20479,-138.28311,Sandra Angers-Blondin,PlantHeight;;
833,Salix lanata,Kluane Plateau,1.352,60.96727,-138.42202,Haydn Thomas,PlantHeight;;
834,Salix lanata,Kluane,1.1,61.20547,-138.28315,Isla Myers-Smith,PlantHeight;;
835,Salix lanata,Dempster,1.29,66.75543,-136.30777,Isla Myers-Smith,PlantHeight;;
836,Salix lanata,Kluane,0.4,60.82927,-137.87121,Isla Myers-Smith,PlantHeight;;
837,Salix lanata,Herschel_4,0.21,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
838,Salix lanata,Dempster,0.43,66.63296,-136.27623,Isla Myers-Smith,PlantHeight;;
839,Salix lanata,Kluane,0.2,60.95661,-138.41556,Isla Myers-Smith,PlantHeight;;
840,Salix lanata,Herschel_4,0.19,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
841,Salix lanata,Kluane_2,0.33,61.20479,-138.28311,Sandra Angers-Blondin,PlantHeight;;
842,Salix lanata,Kluane,15.74666667,61.1726,-138.3824,Isla Myers-Smith,SLA;;
843,Salix lanata,Northeastern AK_Sag12,0.8,69.62937422,-148.6553784,Katie Christie,PlantHeight;;
844,Salix lanata,Yuribei River Yamal Peninsula,2.49,68.962167,69.989361,Bruce C. Forbes,PlantHeight;;
845,Salix lanata,Staloluokta Sweden,2.41,67.280889,16.717278,Bruce C. Forbes,PlantHeight;;
846,Salix lanata,Staloluokta Sweden,2.21,67.280889,16.717278,Bruce C. Forbes,PlantHeight;;
847,Salix lanata,Kluane_6,0.51,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
848,Salix lanata,Kluane_5,0.64,60.95940398,-138.419984,Sandra Angers-Blondin,PlantHeight;;
849,Salix lanata,Qikiqtaruk-Herschel Island,0.263,69.57794,-138.94218,Haydn Thomas, Isla Myers-Smith,PlantHeight;;
850,Salix lanata,Kluane Plateau,0.835,60.96201,-138.41271,Haydn Thomas,PlantHeight;;
851,Salix lanata,Herschel_2,0.34,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
852,Salix lanata,Herschel_2,0.19,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
853,Salix lanata,Kluane,0.69,61.1726,-138.3824,Isla Myers-Smith,PlantHeight;;
854,Salix lanata,Herschel Island,0.27,69.57798,-138.93608,Isla Myers-Smith,PlantHeight;;
855,Salix lanata,Herschel_4,0.14,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
856,Salix lanata,Herschel_4,0.13,69.5767,-138.945,Sandra Angers-Blondin,PlantHeight;;
857,Salix lanata,SLYL Laborovaya YNAO,2.6,67.95,68,Bruce C. Forbes,PlantHeight;;
858,Salix lanata,Kluane_4,0.71,60.96118,-138.41035,Sandra Angers-Blondin,PlantHeight;;
859,Salix lanata,Kluane,0.2,60.95364,-138.4207,Isla Myers-Smith,PlantHeight;;
860,Salix lanata,Kluane_4,0.13,60.96118,-138.41035,Sandra Angers-Blondin,PlantHeight;;
861,Salix lanata,Kluane_6,0.75,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
862,Salix lanata,Herschel_2,0.24,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
863,Salix lanata,Kluane_6,0.31,60.9644,-138.4125,Sandra Angers-Blondin,PlantHeight;;
864,Salix lanata,Herschel_2,0.23,69.5708,-138.892,Sandra Angers-Blondin,PlantHeight;;
